"","2013-03-12_to_2015-03-13_ALLPortfolio_1QRank","2013-04-12_to_2015-04-13_ALLPortfolio_1QRank","2013-05-13_to_2015-05-13_ALLPortfolio_1QRank","2013-06-12_to_2015-06-13_ALLPortfolio_1QRank","2013-07-12_to_2015-07-13_ALLPortfolio_1QRank","2013-08-12_to_2015-08-13_ALLPortfolio_1QRank","2013-09-12_to_2015-09-13_ALLPortfolio_1QRank","2013-10-14_to_2015-10-13_ALLPortfolio_1QRank","2013-11-12_to_2015-11-13_ALLPortfolio_1QRank","2013-12-12_to_2015-12-13_ALLPortfolio_1QRank","2014-01-13_to_2016-01-13_ALLPortfolio_1QRank","2014-02-12_to_2016-02-13_ALLPortfolio_1QRank","2014-03-12_to_2016-03-13_ALLPortfolio_1QRank","2014-04-14_to_2016-04-13_ALLPortfolio_1QRank","2014-05-12_to_2016-05-13_ALLPortfolio_1QRank","2014-06-12_to_2016-06-13_ALLPortfolio_1QRank","2014-07-14_to_2016-07-13_ALLPortfolio_1QRank","2014-08-12_to_2016-08-13_ALLPortfolio_1QRank","2014-09-12_to_2016-09-13_ALLPortfolio_1QRank","2014-10-13_to_2016-10-13_ALLPortfolio_1QRank","2014-11-12_to_2016-11-13_ALLPortfolio_1QRank","2014-12-12_to_2016-12-13_ALLPortfolio_1QRank","2015-01-12_to_2017-01-13_ALLPortfolio_1QRank","2015-02-12_to_2017-02-13_ALLPortfolio_1QRank","2015-03-12_to_2017-03-13_ALLPortfolio_1QRank","2015-04-13_to_2017-04-13_ALLPortfolio_1QRank","2015-05-12_to_2017-05-13_ALLPortfolio_1QRank","2015-06-12_to_2017-06-13_ALLPortfolio_1QRank","2015-07-13_to_2017-07-13_ALLPortfolio_1QRank","2015-08-12_to_2017-08-13_ALLPortfolio_1QRank","2015-09-14_to_2017-09-13_ALLPortfolio_1QRank","2015-10-12_to_2017-10-13_ALLPortfolio_1QRank","2015-11-12_to_2017-11-13_ALLPortfolio_1QRank","2015-12-14_to_2017-12-13_ALLPortfolio_1QRank","2016-01-12_to_2018-01-13_ALLPortfolio_1QRank","2016-02-12_to_2018-02-13_ALLPortfolio_1QRank","2016-03-14_to_2018-03-13_ALLPortfolio_1QRank","2016-04-12_to_2018-04-13_ALLPortfolio_1QRank","2016-05-12_to_2018-05-13_ALLPortfolio_1QRank","2016-06-13_to_2018-06-13_ALLPortfolio_1QRank","2016-07-12_to_2018-07-13_ALLPortfolio_1QRank","2016-08-12_to_2018-08-13_ALLPortfolio_1QRank","2016-09-12_to_2018-09-13_ALLPortfolio_1QRank","2016-10-12_to_2018-10-13_ALLPortfolio_1QRank","2016-11-14_to_2018-11-13_ALLPortfolio_1QRank","2016-12-12_to_2018-12-13_ALLPortfolio_1QRank","2017-01-12_to_2019-01-13_ALLPortfolio_1QRank","2017-02-13_to_2019-02-13_ALLPortfolio_1QRank","2017-03-13_to_2019-03-13_ALLPortfolio_1QRank","2017-04-12_to_2019-04-13_ALLPortfolio_1QRank","2017-05-12_to_2019-05-13_ALLPortfolio_1QRank","2017-06-12_to_2019-06-13_ALLPortfolio_1QRank","2017-07-12_to_2019-07-13_ALLPortfolio_1QRank","2017-08-14_to_2019-08-13_ALLPortfolio_1QRank","2017-09-12_to_2019-09-13_ALLPortfolio_1QRank","2017-10-12_to_2019-10-13_ALLPortfolio_1QRank","2017-11-13_to_2019-11-13_ALLPortfolio_1QRank","2017-12-12_to_2019-12-13_ALLPortfolio_1QRank","2018-01-12_to_2020-01-13_ALLPortfolio_1QRank","2018-02-12_to_2020-02-13_ALLPortfolio_1QRank","2018-03-12_to_2020-03-13_ALLPortfolio_1QRank","2018-04-12_to_2020-04-13_ALLPortfolio_1QRank","2018-05-14_to_2020-05-13_ALLPortfolio_1QRank","2018-06-12_to_2020-06-13_ALLPortfolio_1QRank","2018-07-12_to_2020-07-13_ALLPortfolio_1QRank","2018-08-13_to_2020-08-13_ALLPortfolio_1QRank","2018-09-12_to_2020-09-13_ALLPortfolio_1QRank","2018-10-12_to_2020-10-13_ALLPortfolio_1QRank","2018-11-12_to_2020-11-13_ALLPortfolio_1QRank","2018-12-12_to_2020-12-13_ALLPortfolio_1QRank","2019-01-14_to_2021-01-13_ALLPortfolio_1QRank","2019-02-12_to_2021-02-13_ALLPortfolio_1QRank","2019-03-12_to_2021-03-13_ALLPortfolio_1QRank","2019-04-12_to_2021-04-13_ALLPortfolio_1QRank","2019-05-13_to_2021-05-13_ALLPortfolio_1QRank","2019-06-12_to_2021-06-13_ALLPortfolio_1QRank","2019-07-12_to_2021-07-13_ALLPortfolio_1QRank","2019-08-12_to_2021-08-13_ALLPortfolio_1QRank","2019-09-12_to_2021-09-13_ALLPortfolio_1QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","25.12","27.453","22.528","20.731","16.442","16.808","12.007","14.636","13.345","14.066","6.487","4.691","8.247","12.182","11.455","10.028","8.209","8.833","5.831","11.474","7.763","12.324","13.963","12.099","13.437","11.436","14.17","16.979","14.57","14.015","19.867","19.728","20.27","20.507","30.165","24.996","21.351","22.531","24.769","23.962","20.89","18.897","20.866","16.984","14.073","10.368","9.581","8.475","11.985","11.45","11.328","9.465","13.613","9.842","9.703","7.044","10.301","7.489","7.66","10.895","-1.167","2.931","6.586","2.583","7.352","12.589","10.644","19.136","14.824","23.899","27.707","23.155","24.458","29.448","28.757","31.811","31.638","27.004","33.928"
"B Annualized Returns","13.967","14.254","12.172","12.974","9.499","10.247","6.893","8.267","7.617","7.593","3.425","1.614","3.621","6.23","4.419","4.539","4.139","6.118","4.05","6.291","3.034","6.456","5.944","5.2","7.72","6.517","7.058","8.088","7.837","8.414","13.287","12.293","11.798","14.267","19.029","18.657","17.141","13.086","14.366","15.386","13.944","14.397","15.674","13.099","12.652","8.631","6.967","8.379","8.156","10.775","9.545","8.926","11.058","7.965","9.889","7.616","9.943","9.39","9.067","13.618","-4.331","4.212","4.912","6.072","8.992","11.71","10.118","15.689","15.845","19.524","23.018","22.062","20.459","21.238","21.691","23.187","22.955","26.747","25.371"
"AR DIFF(P-B)","11.153","13.199","10.356","7.757","6.943","6.561","5.114","6.369","5.728","6.473","3.062","3.077","4.626","5.952","7.036","5.489","4.07","2.715","1.781","5.183","4.729","5.868","8.019","6.899","5.717","4.919","7.112","8.891","6.733","5.601","6.58","7.435","8.472","6.24","11.136","6.339","4.21","9.445","10.403","8.576","6.946","4.5","5.192","3.885","1.421","1.737","2.614","0.0960000000000001","3.829","0.674999999999999","1.783","0.539","2.555","1.877","-0.186","-0.572","0.358000000000001","-1.901","-1.407","-2.723","3.164","-1.281","1.674","-3.489","-1.64","0.879","0.526","3.447","-1.021","4.375","4.689","1.093","3.999","8.21","7.066","8.624","8.683","0.257000000000001","8.557"
"P Volatility","11.47","12.89","11.75","11.27","9.45","9.05","11.11","10.79","11.82","12.27","11.05","12.25","12.96","13.79","13.61","13.42","12.71","13.09","13.13","13.62","13.26","12.8","13.64","12.84","12.33","12.18","11.7","12.72","13.11","10.41","11.05","10.16","9.76","9.08","6.99","7.4","8.85","10.09","9.54","9.1","9.02","9.19","9.22","8.76","10.1","10.35","12.37","12.13","12.88","13.54","13.35","13.49","14.11","14.62","14.78","14.41","13.93","14.62","13.13","12.79","13.95","18.87","20.04","20.72","22.6","21.63","24.26","24.29","21.87","24.72","24.09","23.01","25.27","25.34","25.64","26.56","25.96","22.23","25.04"
"B Volatility","8.88","9.34","9.15","8.74","8.81","8.45","9.96","9.85","11.95","11.94","11.67","12.79","12.78","13.49","13.46","13.43","13.41","13.42","13.4","13.44","13.23","13.35","13.12","12.74","12.77","12.75","12.73","12.49","12.39","11.21","10.79","8.48","8.49","8.36","5.72","6.32","6.58","7.48","7.5","7.53","7.34","7.62","7.65","7.51","9.44","9.35","11.44","12.09","12.18","12.19","12.56","13.39","13.71","13.73","13.87","13.83","13.82","14.01","13.69","13.25","14.92","17.09","19.27","19.37","19.31","19.36","20.51","20.15","20.28","19.62","19.3","19.29","19.34","19.24","18.74","18.71","18.74","18.53","18.53"
"V DIFF(P-B)","2.59","3.55","2.6","2.53","0.639999999999999","0.600000000000001","1.15","0.94","-0.129999999999999","0.33","-0.619999999999999","-0.539999999999999","0.180000000000001","0.299999999999999","0.149999999999999","-0.00999999999999979","-0.699999999999999","-0.33","-0.27","0.18","0.0299999999999994","-0.549999999999999","0.520000000000001","0.0999999999999996","-0.44","-0.57","-1.03","0.23","0.719999999999999","-0.800000000000001","0.260000000000002","1.68","1.27","0.720000000000001","1.27","1.08","2.27","2.61","2.04","1.57","1.68","1.57","1.57","1.25","0.66","1","0.93","0.0400000000000009","0.700000000000001","1.35","0.789999999999999","0.0999999999999996","0.399999999999999","0.889999999999999","0.91","0.58","0.109999999999999","0.609999999999999","-0.559999999999999","-0.460000000000001","-0.970000000000001","1.78","0.77","1.35","3.29","2.27","3.75","4.14","1.59","5.1","4.79","3.72","5.93","6.1","6.9","7.85","7.22","3.7","6.51"
"P Tracking Error","6.58","8.45","6.71","6.82","5.56","5.69","5.61","6.27","7.26","7.12","6.27","6.42","6.64","6.57","6.52","5.92","6.07","5.97","5.95","5.28","5.71","5.42","5.44","5.69","5.86","5.32","5.69","6.37","6.67","5.68","4.84","4.63","4.39","4.07","4.58","3.27","3.8","4.88","4.74","4.67","4.57","4.9","4.13","3.61","3.91","4.23","4.01","3.11","3.98","4.22","4.48","3.78","4.03","3.95","4.15","4.53","4.51","4.99","4.7","4.96","4.76","5.69","5.12","6.77","6.96","6.58","8.01","7.67","6","8.66","8.85","7.82","9.86","9.5","10.63","11.81","10.64","8.97","10.34"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.69","1.56","1.54","1.14","1.25","1.15","0.91","1.02","0.79","0.91","0.49","0.48","0.7","0.91","1.08","0.93","0.67","0.45","0.3","0.98","0.83","1.08","1.47","1.21","0.98","0.92","1.25","1.4","1.01","0.99","1.36","1.61","1.93","1.53","2.43","1.94","1.11","1.94","2.19","1.84","1.52","0.92","1.26","1.08","0.36","0.41","0.65","0.03","0.96","0.16","0.4","0.14","0.63","0.48","-0.04","-0.13","0.08","-0.38","-0.3","-0.55","0.66","-0.23","0.33","-0.52","-0.24","0.13","0.07","0.45","-0.17","0.51","0.53","0.14","0.41","0.86","0.66","0.73","0.82","0.03","0.83"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.74","0.93","0.83","0.57","0.49","0.62","0.18","0.6","0.67","0.71","0.51","0.35","0.45","0.53","0.57","0.47","0.4","0.32","0.38","0.42","0.36","0.43","0.62","0.55","0.59","0.47","0.57","0.77","0.56","0.82","0.6","0.46","0.5","0.52","0.64","0.23","-0.03","0.56","0.59","0.63","0.45","0.34","0.12","0.17","0.2","0.25","0.11","0.01","0.3","0.01","0.06","0","0.18","0.03","0.04","-0.09","0.11","-0.13","-0.02","-0.07","-0.15","-0.32","-0.06","-0.27","-0.14","0.11","0.05","0.17","-0.24","0.06","-0.04","-0.22","0.09","0.34","0.19","0.19","0.28","-0.15","0.2"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.06","1.04","1.06","1.03","0.88","0.85","0.96","0.9","0.8","0.85","0.8","0.83","0.88","0.9","0.89","0.9","0.85","0.88","0.88","0.94","0.91","0.88","0.95","0.91","0.86","0.87","0.82","0.89","0.92","0.8","0.92","1.07","1.03","0.97","0.93","1.05","1.24","1.2","1.11","1.04","1.06","1.02","1.08","1.06","0.99","1.01","1.02","0.97","1.01","1.06","1","0.97","0.99","1.03","1.02","0.99","0.95","0.98","0.9","0.9","0.89","1.05","1.01","1.01","1.12","1.07","1.12","1.15","1.04","1.2","1.17","1.13","1.22","1.25","1.27","1.31","1.3","1.1","1.26"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","65.69","55.1","66.03","61.74","65.1","60.72","73.38","65.6","64.6","66.92","70.77","74.46","74.02","77.17","77.11","80.61","78.85","79.88","80.03","84.67","81.43","82.91","83.53","80.32","78.49","81.95","79.09","75.02","73.61","73.51","80.47","78.6","78.83","79.07","55.35","79.7","83.92","77.73","74.9","72.53","73.3","70.24","79.41","82.54","84.32","82.49","89.04","93.2","90","90.09","88.2","91.87","91.48","92.43","91.8","89.67","89.25","87.84","87.68","85.49","89.35","90.72","93.17","88.84","91.16","90.67","89.71","91.25","92.24","89.67","87.9","89.13","87.13","88.9","86.22","84.21","87.27","83.69","85.93"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-8.5556","-9.6036","-8.3344","-7.7634","-7.463","-7.5808","-11.4341","-11.6329","-12.1313","-11.887","-11.3511","-12.403","-14.1803","-14.5944","-15.115","-14.7386","-14.8945","-13.7313","-15.363","-15.3346","-15.1746","-13.4577","-14.4522","-15.2988","-14.0495","-13.1859","-13.0015","-14.3507","-15.3471","-13.8841","-14.5792","-15.5936","-14.2207","-13.5184","-6.277","-8.9271","-9.2673","-9.6843","-9.0441","-9.7936","-9.6686","-9.7696","-9.6205","-9.4973","-10.1223","-11.1004","-19.0696","-19.4556","-20.5492","-21.059","-20.4354","-18.4569","-18.5285","-18.963","-19.3247","-19.2378","-17.9552","-18.8969","-17.8647","-18.2519","-25.7254","-31.688","-29.784","-29.7196","-31.9662","-31.3782","-32.6773","-31.7206","-29.8276","-32.386","-32.5163","-30.1191","-32.4741","-31.7305","-32.8644","-34.3721","-33.4845","-32.0429","-32.5734"
"B Max Drawdown","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-9.7412","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-1.1087","-2.1567","-0.8875","-0.3165","-0.0160999999999998","-0.1339","1.8938","1.695","1.1966","1.4409","1.9768","0.924899999999999","-0.852400000000001","-1.2665","-1.7871","-1.4107","-1.5666","-0.4034","-2.0351","-2.0067","-1.8467","-0.129800000000001","-1.1243","-1.9709","-0.7216","0.141999999999999","0.3264","-1.0228","-2.0192","-2.0479","-2.743","-3.7574","-2.8071","-2.9922","-1.1565","0.8141","0.473799999999999","0.896799999999999","1.537","0.7875","0.9125","0.811499999999999","0.960599999999999","1.0838","0.4588","-0.519300000000001","0.889699999999998","0.503699999999998","-0.5899","-1.0997","-0.476100000000002","1.5024","1.4308","0.996299999999998","0.634599999999999","0.721499999999999","2.0041","1.0624","2.0946","1.7074","0.313199999999998","-0.1568","1.7472","1.8116","-0.435000000000002","0.152999999999999","-1.1461","-0.189400000000003","1.7036","-0.854800000000004","-0.985100000000003","1.4121","-0.942900000000002","-0.199300000000001","-1.33320000000001","-2.8409","-1.9533","-0.511700000000005","-1.0422"
